FLTID,DEPSTN,ARRSTN,typical_hour,n_flights
TU 0964 ,SFA,CDG,5,122
UG 1311 ,CDG,TUN,17,122
TU 0397 ,OUA,TUN,0,121
TU 0648 ,DJE,FRA,13,120
TU 0613 ,DKR,BKO,22,118
TU 0965 ,CDG,SFA,8,117
TU 0430 ,DJE,LYS,13,113
TU 0431 ,LYS,DJE,17,112
UG 1314 ,SFA,CDG,8,112
TU 6593 ,SXF,NBE,15,112
UG 1315 ,CDG,SFA,11,111
TU 6592 ,NBE,SXF,15,106
TU 0841 ,CKY,TUN,0,104
TU 0399 ,ABJ,TUN,22,101
TU 0399 ,NIM,ABJ,19,99
TU 0668 ,DJE,BRU,5,94
TU 0669 ,BRU,DJE,9,94
TU 1759 ,PMO,TUN,11,91
TU 1758 ,TUN,PMO,9,91
TU 0726 ,DJE,MIR,5,91
TU 0727 ,MIR,DJE,13,88
TU 0498 ,DJE,MUC,12,85
TU 0485 ,ZRH,DJE,15,84
TU 0499 ,MUC,DJE,15,84
TU 0398 ,ABJ,TUN,22,84
TU 0484 ,DJE,ZRH,12,83
TU 0613 ,BKO,DKR,19,82
TU 0634 ,DJE,TOE,12,82
TU 0635 ,ORY,TOE,17,81
TU 0540 ,NBE,DUS,6,81
TU 0613 ,DKR,TUN,22,81
TU 0635 ,TOE,DJE,20,81
TU 0541 ,DUS,NBE,10,81
TU 0634 ,TOE,ORY,7,80
TU 0726 ,MIR,BRU,6,79
TU 0647 ,FRA,NBE,17,78
TU 0727 ,BRU,MIR,9,78
TU 0613 ,DSS,TUN,22,76
UG 0041 ,TOE,TUN,4,76
TU 0646 ,NBE,FRA,14,75
UG 0040 ,TUN,TOE,20,75
TU 0602 ,DJE,TUN,4,75
TU 0613 ,BKO,DSS,20,75
TU 0395 ,TUN,BKO,15,74
TU 0603 ,TUN,DJE,12,72
TU 0841 ,TUN,CKY,13,72
UG 0043 ,TOE,TUN,16,69
TU 0783 ,BRU,MIR,10,67
TU 0782 ,MIR,BRU,6,66
TU 0841 ,DSS,CKY,22,65
TU 0841 ,TUN,DSS,16,65
TU 0400 ,NIM,TUN,0,65
AT 0671 ,AMS,NDR,19,64
AT 0679 ,BRU,NDR,11,63
AT 0678 ,NDR,BRU,7,63
TU 0249 ,PRG,TUN,10,61
TU 0643 ,PRG,TUN,12,61
TU 0248 ,TUN,PRG,7,61
TU 6140 ,DJE,LJU,7,61
TU 6141 ,LJU,DJE,10,60
UG 0045 ,TOE,TUN,16,59
TU 0595 ,MUC,NBE,8,58
TU 0552 ,NBE,HAM,6,58
TU 0553 ,HAM,NBE,10,58
TU 4751 ,VIE,DJE,17,58
TU 0594 ,NBE,MUC,5,58
TU 0669 ,BRU,MIR,9,57
TU 0646 ,MIR,FRA,14,56
TU 0669 ,MIR,DJE,13,56
TU 0668 ,MIR,BRU,6,56
AT 0684 ,NDR,AMS,15,56
TU 4750 ,DJE,VIE,14,56
TU 0647 ,FRA,MIR,17,56
TU 0668 ,DJE,MIR,4,56
TU 6153 ,BUD,MIR,20,54
UG 0002 ,SFA,DJE,7,54
TU 6152 ,MIR,BUD,17,54
UG 0002 ,TUN,SFA,5,54
TU 0541 ,DUS,MIR,9,53
TU 0540 ,MIR,DUS,5,53
TU 0401 ,ABJ,TUN,22,52
TU 0401 ,COO,ABJ,20,51
TU 0401 ,TUN,COO,14,51
TU 6550 ,DJE,SXF,5,50
TU 8956 ,MIR,LJU,10,49
TU 6551 ,SXF,DJE,9,49
TU 0588 ,DJE,MIR,14,49
TU 0401 ,TUN,ABJ,16,49
TU 0588 ,MIR,LYS,15,49
TU 7037 ,PRG,DJE,18,49
UG 0044 ,GAE,TOE,15,48
TU 6592 ,MIR,SXF,4,48
TU 0734 ,TOE,ORY,14,48
TU 6553 ,HAM,MIR,10,48
TU 8957 ,LJU,MIR,16,48
TU 7036 ,DJE,PRG,14,48
TU 0589 ,MIR,DJE,21,48
TU 7041 ,PRG,DJE,9,48
TU 7040 ,DJE,PRG,5,48
TU 0589 ,LYS,MIR,18,48
TU 0734 ,DJE,TOE,13,48
TU 0735 ,TOE,DJE,22,48
TU 7133 ,BUD,MIR,7,47
AT 0689 ,BRU,OUD,19,47
TU 6593 ,SXF,MIR,8,47
TU 0401 ,COO,TUN,0,47
TU 0735 ,ORY,TOE,18,47
AT 0688 ,OUD,BRU,15,47
TU 0401 ,ABJ,COO,22,47
TU 6552 ,MIR,HAM,6,47
UG 1312 ,SFA,CDG,13,46
TU 0701 ,GVA,ZRH,10,46
TU 0701 ,ZRH,TUN,12,46
TU 6498 ,DJE,MUC,13,46
TU 7132 ,MIR,BUD,4,46
TU 6499 ,MUC,DJE,16,45
UG 1313 ,CDG,SFA,10,45
TU 7044 ,DJE,PRG,5,45
UG 0044 ,TUN,GAE,14,45
UG 1759 ,PMO,TUN,11,45
TU 0396 ,BKO,DKR,20,45
TU 6291 ,CDG,DJE,14,45
TU 0396 ,DKR,TUN,23,44
TU 7031 ,PRG,MIR,8,44
TU 8538 ,DJE,OPO,5,44
TU 7038 ,MIR,PRG,5,43
TU 7039 ,PRG,MIR,8,43
TU 8303 ,FRA,DJE,17,43
UG 1758 ,TUN,PMO,9,43
TU 8302 ,DJE,FRA,14,43
TU 8305 ,DUS,DJE,9,43
TU 6290 ,DJE,CDG,10,43
TU 8304 ,DJE,DUS,5,42
TU 7045 ,PRG,DJE,8,42
TU 7030 ,MIR,PRG,5,42
TU 0701 ,TUN,DJE,13,42
AT 0670 ,NDR,AMS,6,42
TU 9000 ,MIR,DJE,21,42
TU 0614 ,DKR,BKO,23,41
TU 0614 ,BKO,TUN,1,41
TU 0700 ,DJE,TUN,6,41
UG 0042 ,TUN,GAF,14,40
UG 0042 ,GAF,TOE,15,40
UG 0043 ,GAF,TOE,15,40
TU 0841 ,TUN,DKR,16,40
TU 0841 ,DKR,CKY,22,40
AT 0625 ,ORY,OUD,11,39
UG 0401 ,DJE,TUN,14,39
TU 7034 ,MIR,PRG,4,39
TU 7035 ,PRG,MIR,7,39
AT 0624 ,OUD,ORY,8,39
TU 0841 ,CKY,DSS,20,39
TU 0841 ,DSS,TUN,22,39
UG 0045 ,GAE,TOE,15,39
TU 6497 ,HAM,DJE,17,39
UG 0400 ,TUN,DJE,13,38
TU 8600 ,DJE,CDG,16,38
TU 6496 ,DJE,HAM,12,37
TU 6649 ,FRA,DJE,17,37
TU 9001 ,MIR,TUN,14,37
TU 7239 ,PRG,DJE,8,36
TU 0398 ,OUA,TUN,0,36
TU 6648 ,DJE,FRA,13,36
TU 7255 ,PRG,MIR,14,36
TU 7238 ,DJE,PRG,4,36
TU 6110 ,MIR,PRG,10,35
TU 6111 ,PRG,MIR,14,35
TU 7268 ,MIR,PRG,4,35
TU 0280 ,MIR,LED,17,35
TU 7254 ,MIR,PRG,10,35
TU 0643 ,VIE,PRG,11,35
TU 7084 ,MIR,PRG,5,35
TU 7085 ,PRG,MIR,9,35
TU 9008 ,TUN,NBE,5,34
TU 0281 ,LED,MIR,22,34
UG 0046 ,GAF,GAE,15,34
UG 0047 ,GAF,GAE,15,34
AT 0685 ,AMS,NDR,11,34
UG 0046 ,TUN,GAF,14,34
UG 0047 ,GAE,TUN,16,34
TU 7269 ,PRG,MIR,8,33
TU 7175 ,BUD,MIR,7,33
TU 7174 ,MIR,BUD,4,33
TU 0841 ,CKY,DKR,20,33
TU 0841 ,DKR,TUN,22,33
TU 7273 ,OSR,MIR,16,32
TU 6539 ,DUS,DJE,16,32
UG 0005 ,DJE,TUN,11,32
TU 0262 ,MIR,SVO,17,31
TU 0263 ,SVO,MIR,22,31
TU 0466 ,TUN,HAM,15,31
TU 6538 ,DJE,DUS,12,31
AT 0694 ,NDR,FRA,14,31
AT 0695 ,FRA,NDR,18,31
TU 0614 ,DKR,TUN,1,31
TU 0466 ,DJE,TUN,13,31
TU 7043 ,PRG,MIR,11,30
TU 7258 ,MIR,PRG,7,30
TU 6499 ,MUC,NBE,9,30
TU 7042 ,MIR,PRG,7,30
TU 6594 ,MIR,SXF,5,30
TU 6498 ,DJE,NBE,4,30
TU 6499 ,NBE,DJE,12,30
TU 0895 ,HAM,MIR,17,30
TU 0894 ,MIR,HAM,13,30
AT 0626 ,AHU,BRU,14,30
TU 0396 ,BKO,TUN,1,30
TU 7032 ,DJE,PRG,5,30
TU 7033 ,PRG,DJE,8,30
TU 6595 ,SXF,MIR,9,30
AT 0627 ,BRU,AHU,10,30
TU 7245 ,OSR,DJE,10,29
TU 6593 ,NBE,DJE,23,29
TU 6498 ,NBE,MUC,6,29
TU 7244 ,BRQ,OSR,8,29
UG 0004 ,TUN,DJE,9,29
TU 6548 ,DJE,SXF,14,29
TU 0467 ,TUN,DJE,22,29
TU 8539 ,OPO,DJE,9,29
TU 6548 ,TUN,DJE,13,29
UG 0042 ,TUN,TOE,15,29
TU 6592 ,DJE,NBE,14,29
TU 7259 ,PRG,MIR,11,29
TU 8534 ,DJE,LIS,12,28
TU 0467 ,HAM,TUN,18,28
TU 7244 ,DJE,BRQ,5,28
TU 9000 ,TUN,DJE,4,28
TU 9001 ,DJE,TUN,21,27
TU 6549 ,SXF,DJE,18,27
TU 8535 ,LIS,DJE,16,27
TU 9041 ,MIR,TUN,17,27
TU 0497 ,HAM,DJE,18,27
TU 9007 ,NBE,TUN,21,27
TU 0467 ,HAM,DJE,9,26
TU 2002 ,DJE,MXP,15,26
TU 7249 ,BTS,DJE,9,26
TU 0496 ,DJE,HAM,14,26
TU 6549 ,DJE,TUN,22,26
TU 0436 ,TOE,CDG,13,26
TU 2003 ,MXP,DJE,18,26
TU 9006 ,DJE,TUN,19,26
TU 0595 ,MUC,MIR,8,26
TU 0594 ,MIR,MUC,5,26
TU 7248 ,DJE,BTS,6,26
TU 0893 ,MUC,MIR,9,25
TU 9062 ,TUN,MIR,4,25
TU 7322 ,DJE,PRG,4,25
TU 0437 ,CDG,TOE,9,25
TU 7323 ,PRG,DJE,7,25
TU 2006 ,MIR,MXP,18,25
TU 2007 ,MXP,MIR,21,25
TU 9001 ,DJE,MIR,19,25
TU 9035 ,DJE,TUN,21,25
TU 0892 ,MIR,MUC,6,25
TU 8640 ,DJE,LYS,3,25
TU 0724 ,TUN,CDG,18,25
TU 0642 ,VIE,PRG,10,25
TU 0734 ,DJE,MIR,13,24
TU 0635 ,MIR,DJE,15,24
TU 6180 ,MIR,BEG,6,24
TU 8641 ,LYS,DJE,6,24
TU 0432 ,DJE,CDG,15,24
TU 0635 ,ORY,MIR,11,24
TU 6181 ,BEG,MIR,9,24
TU 0634 ,DJE,MIR,7,23
TU 0466 ,DJE,HAM,5,23
TU 0433 ,CDG,DJE,19,23
TU 6549 ,SXF,TUN,11,23
TU 8601 ,CDG,LIL,20,23
TU 0634 ,MIR,ORY,8,23
TU 0964 ,TOE,SFA,6,23
TU 0702 ,TUN,GVA,8,22
TU 6125 ,BTS,MIR,21,22
TU 0735 ,MIR,DJE,21,22
TU 5773 ,TUN,JED,17,22
TU 5774 ,JED,TUN,23,22
TU 0965 ,CDG,TOE,15,22
TU 0965 ,TOE,SFA,19,22
TU 0734 ,MIR,ORY,15,22
TU 8300 ,DJE,FRA,5,22
TU 6552 ,NBE,HAM,5,22
TU 8301 ,FRA,DJE,9,22
TU 7384 ,NBE,VIE,14,22
TU 9002 ,MIR,TUN,6,22
TU 0735 ,ORY,MIR,18,22
TU 0703 ,GVA,TUN,11,22
TU 7385 ,VIE,MIR,17,21
TU 7385 ,VIE,NBE,17,21
TU 9001 ,MIR,DJE,22,21
AT 0668 ,OUD,AMS,6,21
TU 4283 ,MUC,DJE,10,21
AT 0669 ,AMS,OUD,19,21
TU 6020 ,SFA,TUN,4,21
TU 6548 ,TUN,HAM,6,21
TU 6124 ,MIR,BTS,16,21
TU 8601 ,LIL,DJE,21,21
TU 6553 ,HAM,NBE,9,21
TU 6497 ,HAM,NBE,11,21
TU 6496 ,NBE,HAM,7,20
TU 9000 ,DJE,SFA,5,20
AT 0607 ,MRS,OUD,19,20
TU 6019 ,TUN,SFA,16,20
TU 6345 ,TBJ,DJE,21,20
TU 6345 ,CDG,TBJ,18,20
TU 6548 ,HAM,SXF,10,20
TU 0298 ,MIR,LED,19,20
AT 0606 ,OUD,MRS,8,20
TU 6595 ,MUC,MIR,7,20
TU 9001 ,TUN,MIR,4,20
TU 0299 ,LED,MIR,0,20
TU 8613 ,LYS,DJE,10,20
TU 6019 ,SFA,MED,17,20
TU 6020 ,MED,SFA,22,20
TU 7240 ,MIR,PRG,7,20
TU 7241 ,PRG,MIR,10,20
TU 6594 ,MIR,MUC,4,20
TU 7384 ,MIR,VIE,14,20
TU 9003 ,MIR,TUN,21,19
AT 0697 ,DUS,NDR,10,19
TU 0400 ,ABJ,TUN,22,19
TU 9001 ,SFA,MIR,20,19
TU 9002 ,DJE,MIR,3,19
TU 0875 ,TUN,DJE,13,19
TU 9051 ,MIR,TUN,17,19
AT 0696 ,NDR,DUS,4,19
TU 7272 ,BRQ,OSR,15,19
TU 0874 ,DJE,TUN,5,19
TU 9002 ,DJE,TUN,19,19
TU 7272 ,MIR,BRQ,11,19
TU 4282 ,DJE,MUC,7,19
TU 4380 ,DJE,HAJ,13,19
TU 0554 ,DJE,TUN,13,19
TU 0875 ,GVA,TUN,10,19
TU 9065 ,SFA,DJE,12,19
TU 9005 ,TUN,DJE,4,19
TU 0554 ,TUN,SXB,15,19
TU 4381 ,HAJ,DJE,17,19
TU 0555 ,TUN,DJE,21,19
TU 0555 ,SXB,TUN,18,19
AT 0620 ,AHU,AMS,15,18
AT 0621 ,AMS,AHU,11,18
TU 9040 ,TUN,MIR,4,18
TU 6496 ,DJE,NBE,6,18
TU 9004 ,MIR,DJE,17,18
TU 0269 ,SVO,NBE,1,18
TU 8612 ,DJE,NTE,6,18
TU 9005 ,DJE,MIR,3,17
TU 9004 ,TUN,NBE,5,17
TU 9004 ,TUN,MIR,4,17
TU 9004 ,TUN,DJE,13,17
TU 9001 ,TUN,DJE,4,17
TU 6497 ,NBE,DJE,15,17
TU 9050 ,TUN,MIR,10,17
TU 0462 ,TUN,LYS,8,17
TU 9003 ,TUN,DJE,4,17
TU 0462 ,MIR,TUN,6,17
TU 0268 ,NBE,SVO,21,17
TU 0695 ,MRS,MIR,10,17
TU 6344 ,DJE,TBJ,13,17
TU 9034 ,TUN,DJE,4,17
TU 6344 ,TBJ,CDG,14,17
TU 3502 ,EBL,TUN,0,17
TU 0694 ,MIR,MRS,7,17
TU 0695 ,MIR,DJE,12,17
TU 0694 ,DJE,MIR,6,17
TU 3501 ,TUN,EBL,20,17
TU 6007 ,TUN,SFA,19,17
TU 0965 ,SFA,TOE,14,17
TU 0247 ,TUN,DJE,21,17
TU 0246 ,DJE,TUN,13,17
TU 0874 ,TUN,GVA,7,17
TU 9003 ,DJE,TUN,21,17
TU 7214 ,DJE,BUD,13,17
TU 9002 ,TUN,DJE,5,17
TU 0484 ,TUN,ZRH,14,17
UG 9005 ,TOE,GAF,16,17
TU 9038 ,TUN,DJE,4,17
TU 7237 ,BRQ,OSR,17,16
TU 9002 ,MIR,DJE,21,16
TU 0298 ,MIR,VKO,20,16
TU 7237 ,OSR,MIR,18,16
TU 7215 ,BUD,DJE,16,16
TU 7047 ,BRQ,NBE,17,16
TU 7046 ,NBE,BRQ,14,16
TU 6297 ,CDG,TUN,17,16
TU 4861 ,AYT,TUN,18,16
TU 7122 ,DJE,PRG,13,16
TU 9081 ,MIR,TUN,23,16
TU 0299 ,VKO,MIR,1,16
TU 7262 ,DJE,PRG,13,16
TU 8611 ,CDG,DJE,17,16
TU 8610 ,DJE,CDG,14,16
TU 0485 ,ZRH,TUN,17,16
TU 0400 ,NIM,ABJ,19,16
TU 7263 ,PRG,DJE,17,16
TU 6024 ,JED,TUN,2,16
TU 6025 ,TUN,MED,22,16
TU 0484 ,DJE,TUN,12,16
UG 9000 ,TOE,GAF,16,16
TU 0485 ,TUN,DJE,20,16
TU 6022 ,TOE,TUN,9,16
TU 9000 ,TUN,MIR,19,16
TU 4860 ,TUN,AYT,15,16
UG 0044 ,TUN,TOE,14,16
TU 0261 ,LED,MIR,2,16
TU 0260 ,MIR,LED,21,16
TU 0263 ,VKO,MIR,1,15
TU 0508 ,MIR,GVA,11,15
TU 6296 ,TUN,CDG,18,15
TU 7236 ,MIR,BRQ,13,15
TU 7123 ,PRG,DJE,17,15
TU 6005 ,TUN,TOE,17,15
TU 0964 ,TOE,CDG,7,15
TU 8539 ,OPO,LIS,10,15
TU 8539 ,LIS,DJE,12,15
TU 0463 ,TUN,MIR,13,15
TU 9003 ,MIR,DJE,21,15
TU 9003 ,DJE,MIR,3,15
TU 0509 ,GVA,MIR,14,15
UG 0403 ,DJE,TUN,15,15
TU 6023 ,TUN,JED,21,15
TU 0463 ,LYS,TUN,11,15
TU 0964 ,SFA,TOE,6,15
TU 0262 ,MIR,VKO,19,15
TU 0273 ,VKO,MIR,23,15
TU 0273 ,SVO,MIR,2,15
TU 0272 ,MIR,VKO,17,15
TU 0272 ,MIR,SVO,21,15
TU 7452 ,DJE,NTE,16,15
TU 7080 ,MIR,PRG,10,14
TU 9049 ,DJE,TUN,21,14
TU 7093 ,PRG,MIR,7,14
TU 6006 ,TOE,TUN,6,14
TU 7081 ,PRG,MIR,14,14
TU 9098 ,TUN,DJE,2,14
TU 9005 ,DJE,TUN,21,14
TU 0589 ,LYS,TOE,18,14
TU 6008 ,SFA,TUN,6,14
TU 9003 ,TUN,MIR,4,14
TU 9007 ,TUN,NBE,5,14
TU 7092 ,MIR,PRG,4,14
TU 6126 ,MIR,KSC,13,14
TU 6015 ,TUN,DJE,17,14
TU 6127 ,KSC,MIR,17,14
TU 6047 ,TUN,JED,18,14
TU 7046 ,MIR,BRQ,11,14
TU 9007 ,DJE,MIR,5,14
TU 0589 ,TOE,DJE,21,14
TU 9002 ,NBE,TUN,7,14
TU 6123 ,PRG,MIR,15,13
TU 9013 ,TUN,NBE,3,13
TU 6018 ,SFA,TUN,7,13
TU 6048 ,JED,TUN,23,13
TU 8713 ,CDG,DJE,9,13
TU 6540 ,MIR,DUS,10,13
TU 7234 ,BRQ,OSR,13,13
TU 7234 ,MIR,BRQ,9,13
UG 1851 ,ARN,TUN,17,13
UG 0402 ,TUN,DJE,13,13
TU 6026 ,MED,TUN,3,13
TU 0683 ,NCE,TUN,12,13
TU 7047 ,BRQ,MIR,14,13
TU 0700 ,TUN,DJE,8,13
TU 7272 ,MIR,OSR,11,13
TU 9009 ,TUN,NBE,3,13
TU 9002 ,TUN,MIR,15,13
TU 9081 ,DJE,TUN,21,13
TU 6031 ,SFA,JED,19,13
TU 0700 ,DJE,GVA,10,13
TU 0682 ,DJE,TUN,8,13
TU 7080 ,MIR,BRQ,17,13
TU 6541 ,DUS,MIR,14,13
TU 7235 ,OSR,MIR,14,13
UG 1850 ,TUN,CPH,11,13
TU 0682 ,TUN,NCE,9,13
UG 1271 ,CDG,DJE,10,13
TU 0607 ,LIS,TUN,19,13
TU 6014 ,TOE,TUN,5,13
TU 9063 ,MIR,TUN,7,13
TU 0430 ,MIR,LYS,13,12
TU 6592 ,DJE,SXF,14,12
TU 7081 ,BRQ,MIR,20,12
UG 1850 ,CPH,ARN,15,12
TU 0431 ,LYS,MIR,11,12
TU 6647 ,FRA,MIR,6,12
TU 6646 ,MIR,FRA,3,12
TU 0683 ,TUN,DJE,14,12
TU 2009 ,VRN,DJE,14,12
TU 9005 ,TUN,MIR,3,12
TU 9010 ,MIR,TUN,6,12
TU 6016 ,DJE,TUN,6,12
TU 0588 ,DJE,TOE,13,12
TU 0588 ,TOE,LYS,15,12
TU 6031 ,TUN,SFA,18,12
TU 7100 ,NBE,PRG,7,12
TU 0607 ,MAD,BCN,17,12
TU 0607 ,BCN,TUN,19,12
TU 7101 ,PRG,NBE,11,12
TU 9016 ,MIR,DJE,12,12
TU 6122 ,MIR,PRG,11,12
TU 0319 ,MAD,TUN,20,12
TU 6021 ,TUN,TOE,18,12
TU 8571 ,MLA,TUN,18,12
TU 8570 ,TUN,MLA,16,12
TU 6593 ,SXF,DJE,18,12
TU 6147 ,BUD,DJE,17,12
TU 6146 ,DJE,BUD,14,12
TU 7260 ,MIR,BTS,4,12
TU 7261 ,BTS,MIR,7,12
TU 8224 ,NBE,OPO,6,12
TU 9000 ,MIR,TUN,22,12
TU 0431 ,MIR,DJE,18,12
TU 0430 ,DJE,MIR,11,12
TU 8712 ,DJE,CDG,6,12
TU 0319 ,LIS,MAD,18,12
TU 6013 ,TUN,TOE,15,12
TU 6133 ,BTS,MIR,14,11
TU 8225 ,OPO,MIR,8,11
TU 2005 ,VRN,MIR,15,11
TU 9004 ,NBE,TUN,20,11
TU 3540 ,MIR,GVA,5,11
TU 2008 ,DJE,VRN,11,11
TU 6006 ,MED,TOE,0,11
TU 9006 ,TUN,DJE,2,11
TU 9008 ,DJE,MIR,4,11
TU 9007 ,SFA,DJE,12,11
TU 8613 ,NTE,LYS,9,11
TU 0788 ,TUN,OST,13,11
TU 6005 ,TUN,SFA,19,11
TU 3541 ,GVA,MIR,8,11
UG 1311 ,SFA,TUN,20,11
UG 1311 ,CDG,SFA,13,11
TU 9064 ,MIR,SFA,3,11
TU 9068 ,TUN,DJE,4,11
TU 9000 ,NBE,TUN,7,11
TU 0700 ,TUN,ZRH,10,11
TU 0701 ,GVA,DJE,13,11
TU 0701 ,DJE,TUN,16,11
TU 7230 ,MIR,BTS,12,11
TU 6007 ,SFA,MED,16,11
